bp_account,gps_change
133****9913,658.99940081526
133****9918,0.0
133****9927,0.0
133****9949,0.0
133****9958,0.0
133****9968,0.0
134****1719,0.0
134****2263,0.0
134****2624,0.0
134****3811,0.0
134****4840,0.0
134****6437,0.0
134****7211,0.0
134****8795,0.0
134****9398,0.0
135****0760,0.0
135****1022,0.0
135****1081,0.0
135****1774,0.0
135****1818,0.0
135****2030,0.0
135****2666,0.0
135****3113,0.0
135****3252,0.0
135****3560,0.0
135****3676,0.0
135****5090,0.0
135****6192,0.0
135****6341,0.0
135****7327,0.0
135****7446,0.0
135****9056,0.0
135****9535,0.0
136****0312,0.0
136****0677,0.0
136****0851,0.0
136****1729,0.0
136****1965,0.0
136****3051,0.0
136****3207,0.0
136****3226,0.0
136****3321,0.0
136****4080,0.0
136****5445,0.0
136****6617,0.0
136****6739,0.0
136****6879,0.0
136****6886,0.0
136****6936,0.0
136****7281,0.0
136****8014,0.0
136****8069,0.0
136****9015,0.0
137****0008,0.0
137****0203,0.0
137****0288,0.0
137****0312,0.0
137****0899,0.0
137****1725,0.0
137****2124,0.0
137****4684,0.0
137****4774,0.0
137****4960,0.0
137****5010,0.0
137****5229,0.0
137****7373,0.0
137****8078,0.0
137****8151,0.0
137****9880,57.13798935417997
138****0021,0.0
138****0415,0.0
138****0540,0.0
138****2008,0.0
138****2017,0.0
138****2518,0.0
138****2553,0.0
138****2899,0.0
138****3553,0.0
138****3581,0.0
138****3780,0.0
138****3980,0.0
138****4388,0.0
138****4440,0.0
138****4580,0.0
138****5260,0.0
138****5388,0.0
138****6098,0.0
138****6473,0.0
138****9008,0.0
138****9565,0.0
138****9928,0.0
139****0819,0.0
139****1014,0.0
139****1029,0.0
139****2005,0.0
139****2056,0.0
139****2135,0.0
139****2812,0.0
139****2913,0.0
139****2953,0.0
139****3068,0.0
139****3089,0.0
139****3270,0.0
139****4981,0.0
139****6636,0.0
139****6669,0.0
139****6753,0.0
139****7115,0.0
139****8096,0.0
139****8583,0.0
139****8939,0.0
139****9029,0.0
